"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000251759,0.589646,,0.000251759,0.572494,,0.000251759,0.559994,,0.000251759,0.551014,,0.000251759,0.544188,,0.000251759,0.538861
0.000255278,0.593205,,0.000255278,0.575623,,0.000255278,0.562746,,0.000255278,0.553449,,0.000255278,0.546376,,0.000255278,0.540853
0.000262315,0.600421,,0.000262315,0.582082,,0.000262315,0.568446,,0.000262315,0.558505,,0.000262315,0.550925,,0.000262315,0.544994
0.00027,0.608559,,0.00027,0.589434,,0.00027,0.574972,,0.00027,0.564315,,0.00027,0.556163,,0.00027,0.549768
0.000271407,0.607767,,0.000271407,0.590477,,0.000271407,0.575927,,0.000271407,0.56516,,0.000271407,0.556911,,0.000271407,0.550436
0.000274222,0.605967,,0.000274222,0.59231,,0.000274222,0.577702,,0.000274222,0.566755,,0.000274222,0.558336,,0.000274222,0.551711
0.000279852,0.602391,,0.000279852,0.594734,,0.000279852,0.580605,,0.000279852,0.569529,,0.000279852,0.560885,,0.000279852,0.554033
0.00029,0.596031,,0.00029,0.595951,,0.00029,0.583961,,0.00029,0.573261,,0.00029,0.564548,,0.00029,0.557494
0.000291126,0.596128,,0.000291126,0.595968,,0.000291126,0.584276,,0.000291126,0.573657,,0.000291126,0.564959,,0.000291126,0.557898
0.000293378,0.59619,,0.000293378,0.595992,,0.000293378,0.58488,,0.000293378,0.574424,,0.000293378,0.56576,,0.000293378,0.558686
0.000297881,0.596313,,0.000297881,0.596051,,0.000297881,0.586008,,0.000297881,0.575888,,0.000297881,0.567306,,0.000297881,0.560218
0.000306888,0.59656,,0.000306888,0.596202,,0.000306888,0.587981,,0.000306888,0.578557,,0.000306888,0.570189,,0.000306888,0.563113
0.00031,0.596646,,0.00031,0.596263,,0.00031,0.588583,,0.00031,0.579403,,0.00031,0.571123,,0.00031,0.564064
