"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000251759,14.8526,,0.000251759,14.8569,,0.000251759,14.86,,0.000251759,14.8622,,0.000251759,14.864,,0.000251759,14.8653
0.000255278,14.8517,,0.000255278,14.8561,,0.000255278,14.8593,,0.000255278,14.8616,,0.000255278,14.8634,,0.000255278,14.8648
0.000262315,14.8499,,0.000262315,14.8545,,0.000262315,14.8579,,0.000262315,14.8604,,0.000262315,14.8623,,0.000262315,14.8638
0.00027,14.8479,,0.00027,14.8526,,0.00027,14.8563,,0.00027,14.8589,,0.00027,14.861,,0.00027,14.8626
0.000271407,14.8481,,0.000271407,14.8524,,0.000271407,14.856,,0.000271407,14.8587,,0.000271407,14.8608,,0.000271407,14.8624
0.000274222,14.8485,,0.000274222,14.8519,,0.000274222,14.8556,,0.000274222,14.8583,,0.000274222,14.8604,,0.000274222,14.8621
0.000279852,14.8494,,0.000279852,14.8513,,0.000279852,14.8548,,0.000279852,14.8576,,0.000279852,14.8598,,0.000279852,14.8615
0.00029,14.851,,0.00029,14.851,,0.00029,14.854,,0.00029,14.8567,,0.00029,14.8589,,0.00029,14.8606
0.000291126,14.851,,0.000291126,14.851,,0.000291126,14.8539,,0.000291126,14.8566,,0.000291126,14.8588,,0.000291126,14.8605
0.000293378,14.851,,0.000293378,14.851,,0.000293378,14.8538,,0.000293378,14.8564,,0.000293378,14.8586,,0.000293378,14.8603
0.000297881,14.8509,,0.000297881,14.851,,0.000297881,14.8535,,0.000297881,14.856,,0.000297881,14.8582,,0.000297881,14.8599
0.000306888,14.8509,,0.000306888,14.8509,,0.000306888,14.853,,0.000306888,14.8554,,0.000306888,14.8575,,0.000306888,14.8592
0.00031,14.8508,,0.00031,14.8509,,0.00031,14.8529,,0.00031,14.8551,,0.00031,14.8572,,0.00031,14.859
0.000311801,14.8507,,0.000311801,14.8509,,0.000311801,14.8528,,0.000311801,14.855,,0.000311801,14.8571,,0.000311801,14.8588
0.000315404,14.8505,,0.000315404,14.8508,,0.000315404,14.8526,,0.000315404,14.8548,,0.000315404,14.8568,,0.000315404,14.8585
0.00032261,14.85,,0.00032261,14.8506,,0.00032261,14.8522,,0.00032261,14.8542,,0.00032261,14.8562,,0.00032261,14.858
0.00033,14.8495,,0.00033,14.8503,,0.00033,14.8518,,0.00033,14.8537,,0.00033,14.8557,,0.00033,14.8574
0.000331441,14.8495,,0.000331441,14.8503,,0.000331441,14.8517,,0.000331441,14.8536,,0.000331441,14.8556,,0.000331441,14.8573
0.000334323,14.8495,,0.000334323,14.8502,,0.000334323,14.8515,,0.000334323,14.8535,,0.000334323,14.8554,,0.000334323,14.8571
0.000340088,14.8495,,0.000340088,14.85,,0.000340088,14.8513,,0.000340088,14.8531,,0.000340088,14.855,,0.000340088,14.8567
0.00035,14.8496,,0.00035,14.8499,,0.00035,14.8509,,0.00035,14.8526,,0.00035,14.8544,,0.00035,14.8561
0.000351153,14.8495,,0.000351153,14.8498,,0.000351153,14.8509,,0.000351153,14.8526,,0.000351153,14.8543,,0.000351153,14.856
0.000353459,14.8494,,0.000353459,14.8498,,0.000353459,14.8508,,0.000353459,14.8525,,0.000353459,14.8542,,0.000353459,14.8559
0.00035807,14.8493,,0.00035807,14.8497,,0.00035807,14.8507,,0.00035807,14.8522,,0.00035807,14.8539,,0.00035807,14.8556
0.000367294,14.849,,0.000367294,14.8495,,0.000367294,14.8503,,0.000367294,14.8518,,0.000367294,14.8534,,0.000367294,14.855
0.00038,14.8486,,0.00038,14.8491,,0.00038,14.8499,,0.00038,14.8512,,0.00038,14.8528,,0.00038,14.8543
0.000381845,14.8492,,0.000381845,14.8492,,0.000381845,14.8499,,0.000381845,14.8512,,0.000381845,14.8528,,0.000381845,14.8543
0.000385534,14.8505,,0.000385534,14.8494,,0.000385534,14.85,,0.000385534,14.8513,,0.000385534,14.8527,,0.000385534,14.8542
0.000392913,14.8531,,0.000392913,14.8503,,0.000392913,14.8505,,0.000392913,14.8515,,0.000392913,14.8529,,0.000392913,14.8543
0.0004,14.8554,,0.0004,14.8516,,0.0004,14.8513,,0.0004,14.852,,0.0004,14.8532,,0.0004,14.8545
0.000401476,14.8552,,0.000401476,14.8518,,0.000401476,14.8514,,0.000401476,14.8521,,0.000401476,14.8532,,0.000401476,14.8545
0.000404427,14.8549,,0.000404427,14.8522,,0.000404427,14.8516,,0.000404427,14.8522,,0.000404427,14.8533,,0.000404427,14.8545
0.00041033,14.8543,,0.00041033,14.8527,,0.00041033,14.8519,,0.00041033,14.8523,,0.00041033,14.8533,,0.00041033,14.8544
0.00042,14.8533,,0.00042,14.853,,0.00042,14.8522,,0.00042,14.8524,,0.00042,14.8532,,0.00042,14.8543
0.000421181,14.8532,,0.000421181,14.853,,0.000421181,14.8522,,0.000421181,14.8525,,0.000421181,14.8532,,0.000421181,14.8543
0.000423542,14.8532,,0.000423542,14.853,,0.000423542,14.8523,,0.000423542,14.8525,,0.000423542,14.8532,,0.000423542,14.8543
0.000428264,14.8531,,0.000428264,14.853,,0.000428264,14.8524,,0.000428264,14.8525,,0.000428264,14.8532,,0.000428264,14.8542
0.000437709,14.8529,,0.000437709,14.853,,0.000437709,14.8525,,0.000437709,14.8526,,0.000437709,14.8532,,0.000437709,14.8541
0.00044,14.8529,,0.00044,14.853,,0.00044,14.8525,,0.00044,14.8526,,0.00044,14.8532,,0.00044,14.8541
0.000441889,14.8533,,0.000441889,14.8531,,0.000441889,14.8526,,0.000441889,14.8526,,0.000441889,14.8532,,0.000441889,14.8541
0.000445667,14.8542,,0.000445667,14.8533,,0.000445667,14.8527,,0.000445667,14.8528,,0.000445667,14.8533,,0.000445667,14.8542
0.000453223,14.8558,,0.000453223,14.8539,,0.000453223,14.8532,,0.000453223,14.8532,,0.000453223,14.8536,,0.000453223,14.8544
0.00046,14.8573,,0.00046,14.8547,,0.00046,14.8538,,0.00046,14.8536,,0.00046,14.854,,0.00046,14.8546
0.000461511,14.8575,,0.000461511,14.8549,,0.000461511,14.854,,0.000461511,14.8537,,0.000461511,14.854,,0.000461511,14.8547
0.000464533,14.8579,,0.000464533,14.8553,,0.000464533,14.8543,,0.000464533,14.8539,,0.000464533,14.8542,,0.000464533,14.8548
0.000470578,14.8586,,0.000470578,14.8561,,0.000470578,14.8548,,0.000470578,14.8544,,0.000470578,14.8545,,0.000470578,14.855
0.00048,14.8598,,0.00048,14.8573,,0.00048,14.8558,,0.00048,14.8551,,0.00048,14.8551,,0.00048,14.8555
0.000481209,14.8596,,0.000481209,14.8574,,0.000481209,14.8559,,0.000481209,14.8552,,0.000481209,14.8552,,0.000481209,14.8555
0.000483627,14.8591,,0.000483627,14.8576,,0.000483627,14.856,,0.000483627,14.8553,,0.000483627,14.8552,,0.000483627,14.8556
0.000488462,14.8582,,0.000488462,14.8577,,0.000488462,14.8562,,0.000488462,14.8555,,0.000488462,14.8553,,0.000488462,14.8556
0.000498134,14.8563,,0.000498134,14.8574,,0.000498134,14.8563,,0.000498134,14.8556,,0.000498134,14.8554,,0.000498134,14.8556
0.0005,14.856,,0.0005,14.8573,,0.0005,14.8562,,0.0005,14.8555,,0.0005,14.8554,,0.0005,14.8556
0.000501934,14.8549,,0.000501934,14.857,,0.000501934,14.8561,,0.000501934,14.8554,,0.000501934,14.8553,,0.000501934,14.8555
0.000505803,14.8528,,0.000505803,14.8563,,0.000505803,14.8557,,0.000505803,14.8551,,0.000505803,14.855,,0.000505803,14.8552
0.00051354,14.8484,,0.00051354,14.8542,,0.00051354,14.8545,,0.00051354,14.8543,,0.00051354,14.8542,,0.00051354,14.8545
0.00052,14.8444,,0.00052,14.8519,,0.00052,14.853,,0.00052,14.8532,,0.00052,14.8533,,0.00052,14.8537
0.000521547,14.8443,,0.000521547,14.8514,,0.000521547,14.8527,,0.000521547,14.853,,0.000521547,14.8532,,0.000521547,14.8535
0.000524642,14.8445,,0.000524642,14.8505,,0.000524642,14.8522,,0.000524642,14.8526,,0.000524642,14.8529,,0.000524642,14.8533
0.000530832,14.8447,,0.000530832,14.849,,0.000530832,14.8512,,0.000530832,14.8519,,0.000530832,14.8523,,0.000530832,14.8528
0.00054,14.8451,,0.00054,14.8476,,0.00054,14.85,,0.00054,14.851,,0.00054,14.8516,,0.00054,14.8522
0.000541238,14.8455,,0.000541238,14.8475,,0.000541238,14.8499,,0.000541238,14.8509,,0.000541238,14.8516,,0.000541238,14.8522
0.000543714,14.8465,,0.000543714,14.8475,,0.000543714,14.8498,,0.000543714,14.8508,,0.000543714,14.8515,,0.000543714,14.8521
0.000548666,14.8483,,0.000548666,14.8476,,0.000548666,14.8497,,0.000548666,14.8507,,0.000548666,14.8514,,0.000548666,14.8521
0.000558569,14.8518,,0.000558569,14.8488,,0.000558569,14.8501,,0.000558569,14.8509,,0.000558569,14.8516,,0.000558569,14.8522
0.00056,14.8522,,0.00056,14.849,,0.00056,14.8502,,0.00056,14.851,,0.00056,14.8516,,0.00056,14.8523
0.000561981,14.8519,,0.000561981,14.8492,,0.000561981,14.8502,,0.000561981,14.851,,0.000561981,14.8516,,0.000561981,14.8522
0.000565942,14.8513,,0.000565942,14.8496,,0.000565942,14.8503,,0.000565942,14.851,,0.000565942,14.8516,,0.000565942,14.8522
0.000573865,14.8501,,0.000573865,14.8498,,0.000573865,14.8503,,0.000573865,14.8508,,0.000573865,14.8514,,0.000573865,14.8519
0.00058,14.8492,,0.00058,14.8497,,0.00058,14.8501,,0.00058,14.8507,,0.00058,14.8512,,0.00058,14.8517
0.000581585,14.849,,0.000581585,14.8496,,0.000581585,14.85,,0.000581585,14.8506,,0.000581585,14.8511,,0.000581585,14.8517
0.000584754,14.8486,,0.000584754,14.8495,,0.000584754,14.8499,,0.000584754,14.8505,,0.000584754,14.851,,0.000584754,14.8516
0.000591092,14.8479,,0.000591092,14.8491,,0.000591092,14.8496,,0.000591092,14.8502,,0.000591092,14.8507,,0.000591092,14.8513
0.0006,14.8468,,0.0006,14.8484,,0.0006,14.8491,,0.0006,14.8498,,0.0006,14.8503,,0.0006,14.8509
0.000601268,14.8471,,0.000601268,14.8484,,0.000601268,14.8491,,0.000601268,14.8497,,0.000601268,14.8503,,0.000601268,14.8509
0.000603803,14.8476,,0.000603803,14.8483,,0.000603803,14.849,,0.000603803,14.8497,,0.000603803,14.8503,,0.000603803,14.8508
0.000608874,14.8486,,0.000608874,14.8483,,0.000608874,14.849,,0.000608874,14.8496,,0.000608874,14.8502,,0.000608874,14.8508
0.000619015,14.8505,,0.000619015,14.8489,,0.000619015,14.8493,,0.000619015,14.8498,,0.000619015,14.8503,,0.000619015,14.8509
0.00063,14.8526,,0.00063,14.8501,,0.00063,14.85,,0.00063,14.8502,,0.00063,14.8506,,0.00063,14.8511
0.000632,14.8523,,0.000632,14.8503,,0.000632,14.85,,0.000632,14.8503,,0.000632,14.8507,,0.000632,14.8511
0.000636,14.8519,,0.000636,14.8506,,0.000636,14.8502,,0.000636,14.8504,,0.000636,14.8507,,0.000636,14.8511
0.000644,14.851,,0.000644,14.8508,,0.000644,14.8503,,0.000644,14.8504,,0.000644,14.8507,,0.000644,14.8511
0.00065,14.8504,,0.00065,14.8507,,0.00065,14.8503,,0.00065,14.8504,,0.00065,14.8506,,0.00065,14.851
0.0006516,14.8501,,0.0006516,14.8506,,0.0006516,14.8503,,0.0006516,14.8503,,0.0006516,14.8506,,0.0006516,14.8509
0.0006548,14.8496,,0.0006548,14.8505,,0.0006548,14.8502,,0.0006548,14.8503,,0.0006548,14.8505,,0.0006548,14.8509
0.0006612,14.8486,,0.0006612,14.8501,,0.0006612,14.85,,0.0006612,14.8501,,0.0006612,14.8503,,0.0006612,14.8507
0.00067,14.8472,,0.00067,14.8492,,0.00067,14.8495,,0.00067,14.8497,,0.00067,14.85,,0.00067,14.8503
0.00067128,14.8469,,0.00067128,14.8491,,0.00067128,14.8494,,0.00067128,14.8496,,0.00067128,14.8499,,0.00067128,14.8503
0.00067384,14.8463,,0.00067384,14.8487,,0.00067384,14.8492,,0.00067384,14.8494,,0.00067384,14.8497,,0.00067384,14.8501
0.00067896,14.8451,,0.00067896,14.848,,0.00067896,14.8487,,0.00067896,14.849,,0.00067896,14.8494,,0.00067896,14.8498
0.00068408,14.8439,,0.00068408,14.8472,,0.00068408,14.8481,,0.00068408,14.8486,,0.00068408,14.849,,0.00068408,14.8495
0.00069,14.8425,,0.00069,14.8461,,0.00069,14.8474,,0.00069,14.848,,0.00069,14.8485,,0.00069,14.849
0.000691024,14.8428,,0.000691024,14.846,,0.000691024,14.8473,,0.000691024,14.848,,0.000691024,14.8485,,0.000691024,14.849
0.000693072,14.8435,,0.000693072,14.8458,,0.000693072,14.8472,,0.000693072,14.8479,,0.000693072,14.8484,,0.000693072,14.8489
0.000697168,14.8449,,0.000697168,14.8456,,0.000697168,14.847,,0.000697168,14.8478,,0.000697168,14.8483,,0.000697168,14.8489
0.00070536,14.8476,,0.00070536,14.8461,,0.00070536,14.8471,,0.00070536,14.8478,,0.00070536,14.8484,,0.00070536,14.8489
0.00071,14.8491,,0.00071,14.8466,,0.00071,14.8474,,0.00071,14.848,,0.00071,14.8485,,0.00071,14.849
0.000711638,14.8499,,0.000711638,14.8469,,0.000711638,14.8475,,0.000711638,14.8481,,0.000711638,14.8486,,0.000711638,14.8491
0.000714915,14.8516,,0.000714915,14.8476,,0.000714915,14.8479,,0.000714915,14.8484,,0.000714915,14.8489,,0.000714915,14.8493
0.000721469,14.855,,0.000721469,14.8494,,0.000721469,14.849,,0.000721469,14.8492,,0.000721469,14.8495,,0.000721469,14.8499
0.00073,14.859,,0.00073,14.8522,,0.00073,14.8507,,0.00073,14.8505,,0.00073,14.8505,,0.00073,14.8508
0.000731311,14.8585,,0.000731311,14.8525,,0.000731311,14.8509,,0.000731311,14.8506,,0.000731311,14.8506,,0.000731311,14.8508
0.000733932,14.8577,,0.000733932,14.8531,,0.000733932,14.8513,,0.000733932,14.8508,,0.000733932,14.8508,,0.000733932,14.8509
0.000739175,14.8561,,0.000739175,14.8537,,0.000739175,14.8518,,0.000739175,14.8511,,0.000739175,14.851,,0.000739175,14.851
0.000744418,14.8544,,0.000744418,14.8539,,0.000744418,14.852,,0.000744418,14.8513,,0.000744418,14.8511,,0.000744418,14.8511
0.00075,14.8526,,0.00075,14.8537,,0.00075,14.852,,0.00075,14.8513,,0.00075,14.8511,,0.00075,14.851
0.000751049,14.8521,,0.000751049,14.8536,,0.000751049,14.852,,0.000751049,14.8513,,0.000751049,14.851,,0.000751049,14.851
0.000753146,14.8511,,0.000753146,14.8533,,0.000753146,14.8519,,0.000753146,14.8512,,0.000753146,14.8509,,0.000753146,14.8509
0.00075734,14.8491,,0.00075734,14.8526,,0.00075734,14.8515,,0.00075734,14.851,,0.00075734,14.8507,,0.00075734,14.8507
0.000765729,14.8449,,0.000765729,14.8504,,0.000765729,14.8504,,0.000765729,14.8501,,0.000765729,14.85,,0.000765729,14.8501
0.00077,14.8426,,0.00077,14.849,,0.00077,14.8496,,0.00077,14.8495,,0.00077,14.8495,,0.00077,14.8496
0.000771678,14.8433,,0.000771678,14.8487,,0.000771678,14.8494,,0.000771678,14.8494,,0.000771678,14.8495,,0.000771678,14.8496
0.000775033,14.8448,,0.000775033,14.8482,,0.000775033,14.8491,,0.000775033,14.8493,,0.000775033,14.8494,,0.000775033,14.8496
0.000781744,14.8478,,0.000781744,14.8479,,0.000781744,14.849,,0.000781744,14.8492,,0.000781744,14.8494,,0.000781744,14.8496
0.00079,14.8512,,0.00079,14.8487,,0.00079,14.8494,,0.00079,14.8496,,0.00079,14.8497,,0.00079,14.8499
0.000791342,14.8514,,0.000791342,14.8488,,0.000791342,14.8494,,0.000791342,14.8496,,0.000791342,14.8498,,0.000791342,14.85
0.000794027,14.8519,,0.000794027,14.8492,,0.000794027,14.8496,,0.000794027,14.8498,,0.000794027,14.8499,,0.000794027,14.85
0.000799395,14.853,,0.000799395,14.85,,0.000799395,14.85,,0.000799395,14.8501,,0.000799395,14.8501,,0.000799395,14.8503
0.00081,14.855,,0.00081,14.8517,,0.00081,14.8511,,0.00081,14.8508,,0.00081,14.8507,,0.00081,14.8508
0.000811074,14.8546,,0.000811074,14.8518,,0.000811074,14.8511,,0.000811074,14.8508,,0.000811074,14.8508,,0.000811074,14.8508
0.000813221,14.8538,,0.000813221,14.852,,0.000813221,14.8512,,0.000813221,14.8509,,0.000813221,14.8508,,0.000813221,14.8508
0.000817516,14.8521,,0.000817516,14.852,,0.000817516,14.8512,,0.000817516,14.8509,,0.000817516,14.8507,,0.000817516,14.8507
0.000826106,14.8487,,0.000826106,14.8512,,0.000826106,14.8508,,0.000826106,14.8505,,0.000826106,14.8504,,0.000826106,14.8504
