"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000255278,14.6872,,0.000255278,14.7468,,0.000255278,14.7757,,0.000255278,14.788,,0.000255278,14.7946,,0.000255278,14.7987
0.000262315,14.6798,,0.000262315,14.7413,,0.000262315,14.772,,0.000262315,14.7852,,0.000262315,14.7924,,0.000262315,14.7969
0.00027,14.6734,,0.00027,14.7352,,0.00027,14.7678,,0.00027,14.7821,,0.00027,14.7899,,0.00027,14.7948
0.000271407,14.7143,,0.000271407,14.7341,,0.000271407,14.7671,,0.000271407,14.7815,,0.000271407,14.7895,,0.000271407,14.7945
0.000274222,14.7792,,0.000274222,14.732,,0.000274222,14.7657,,0.000274222,14.7805,,0.000274222,14.7887,,0.000274222,14.7938
0.000279852,14.8298,,0.000279852,14.7283,,0.000279852,14.763,,0.000279852,14.7785,,0.000279852,14.7871,,0.000279852,14.7926
0.00029,14.8432,,0.00029,14.7229,,0.00029,14.7587,,0.00029,14.7753,,0.00029,14.7846,,0.00029,14.7904
0.000291126,14.8275,,0.000291126,14.7224,,0.000291126,14.7583,,0.000291126,14.7749,,0.000291126,14.7843,,0.000291126,14.7902
0.000293378,14.8054,,0.000293378,14.7214,,0.000293378,14.7574,,0.000293378,14.7742,,0.000293378,14.7837,,0.000293378,14.7897
0.000297881,14.7853,,0.000297881,14.7195,,0.000297881,14.7556,,0.000297881,14.7728,,0.000297881,14.7826,,0.000297881,14.7888
0.000306888,14.7772,,0.000306888,14.7164,,0.000306888,14.7523,,0.000306888,14.7702,,0.000306888,14.7804,,0.000306888,14.7869
0.00031,14.7774,,0.00031,14.7155,,0.00031,14.7513,,0.00031,14.7693,,0.00031,14.7796,,0.00031,14.7863
0.000311801,14.77,,0.000311801,14.715,,0.000311801,14.7506,,0.000311801,14.7687,,0.000311801,14.7792,,0.000311801,14.7859
0.000315404,14.7598,,0.000315404,14.714,,0.000315404,14.7494,,0.000315404,14.7677,,0.000315404,14.7783,,0.000315404,14.7852
0.00032261,14.7533,,0.00032261,14.7124,,0.00032261,14.747,,0.00032261,14.7656,,0.00032261,14.7766,,0.00032261,14.7837
0.00033,14.7521,,0.00033,14.711,,0.00033,14.7446,,0.00033,14.7635,,0.00033,14.7748,,0.00033,14.7821
0.000331441,14.7593,,0.000331441,14.7108,,0.000331441,14.7442,,0.000331441,14.7632,,0.000331441,14.7744,,0.000331441,14.7818
0.000334323,14.7701,,0.000334323,14.7104,,0.000334323,14.7433,,0.000334323,14.7624,,0.000334323,14.7738,,0.000334323,14.7813
0.000340088,14.7781,,0.000340088,14.7099,,0.000340088,14.7417,,0.000340088,14.7609,,0.000340088,14.7725,,0.000340088,14.7801
0.00035,14.7798,,0.00035,14.7097,,0.00035,14.7392,,0.00035,14.7584,,0.00035,14.7703,,0.00035,14.7783
0.000351153,14.7766,,0.000351153,14.7097,,0.000351153,14.7389,,0.000351153,14.7582,,0.000351153,14.7701,,0.000351153,14.778
0.000353459,14.7714,,0.000353459,14.7098,,0.000353459,14.7383,,0.000353459,14.7576,,0.000353459,14.7696,,0.000353459,14.7776
0.00035807,14.7667,,0.00035807,14.7101,,0.00035807,14.7373,,0.00035807,14.7565,,0.00035807,14.7686,,0.00035807,14.7767
0.000367294,14.7644,,0.000367294,14.711,,0.000367294,14.7354,,0.000367294,14.7545,,0.000367294,14.7667,,0.000367294,14.775
0.00038,14.7639,,0.00038,14.7132,,0.00038,14.7331,,0.00038,14.7518,,0.00038,14.7642,,0.00038,14.7728
0.000381845,14.8124,,0.000381845,14.7138,,0.000381845,14.733,,0.000381845,14.7515,,0.000381845,14.764,,0.000381845,14.7725
0.000385534,14.8794,,0.000385534,14.715,,0.000385534,14.7327,,0.000385534,14.751,,0.000385534,14.7635,,0.000385534,14.7721
