X--Kurve 1::[-I(R1:2) | I(TK1)],Y--Kurve 1::[-I(R1:2) | I(TK1)],,X--Kurve 2::[V(1) | V(TK4)],Y--Kurve 2::[V(1) | V(TK4)]
0.00093408,0.585839,,0.00093408,14.8535
0.00094,0.588901,,0.00094,14.8528
0.000941024,0.589592,,0.000941024,14.8526
0.000943072,0.590946,,0.000943072,14.8523
0.000947168,0.593666,,0.000947168,14.8516
0.00095536,0.599165,,0.00095536,14.8502
0.00096,0.602382,,0.00096,14.8494
0.000961638,0.602149,,0.000961638,14.8495
0.000964915,0.601649,,0.000964915,14.8496
0.000971469,0.600651,,0.000971469,14.8498
0.00098,0.599357,,0.00098,14.8502
0.000981311,0.600064,,0.000981311,14.85
0.000983932,0.601478,,0.000983932,14.8496
0.000989175,0.604321,,0.000989175,14.8489
0.000994418,0.607201,,0.000994418,14.8482
0.001,0.610295,,0.001,14.8474
0.00100105,0.610276,,0.00100105,14.8474
0.00100315,0.610205,,0.00100315,14.8474
0.00100734,0.610064,,0.00100734,14.8475
0.00101573,0.609782,,0.00101573,14.8476
0.00102,0.609638,,0.00102,14.8476
0.00102168,0.609821,,0.00102168,14.8475
0.00102503,0.610187,,0.00102503,14.8475
0.00103174,0.610921,,0.00103174,14.8473
0.00104,0.611826,,0.00104,14.847
0.00104134,0.612064,,0.00104134,14.847
0.00104403,0.612538,,0.00104403,14.8469
0.0010494,0.613488,,0.0010494,14.8466
0.00106,0.615371,,0.00106,14.8462
0.00106107,0.613513,,0.00106107,14.8466
0.00106322,0.609814,,0.00106322,14.8475
0.00106752,0.602517,,0.00106752,14.8494
0.00107611,0.58831,,0.00107611,14.8529
0.00108,0.58246,,0.00108,14.8544
0.00108172,0.582856,,0.00108172,14.8543
0.00108515,0.583527,,0.00108515,14.8541
0.00109203,0.584874,,0.00109203,14.8538
0.0011,0.586446,,0.0011,14.8534
0.00110137,0.58561,,0.00110137,14.8536
0.00110412,0.583936,,0.00110412,14.854
0.00110962,0.580609,,0.00110962,14.8548
0.00112,0.57441,,0.00112,14.8564
0.0011211,0.574422,,0.0011211,14.8564
0.0011233,0.574314,,0.0011233,14.8564
0.0011277,0.5741,,0.0011277,14.8565
0.00113649,0.57367,,0.00113649,14.8566
0.00115,0.573011,,0.00115,14.8567
0.00115176,0.573598,,0.00115176,14.8566
0.00115528,0.574772,,0.00115528,14.8563
0.00116231,0.577131,,0.00116231,14.8557
0.00117,0.579736,,0.00117,14.8551
0.00117141,0.57801,,0.00117141,14.8555
0.00117422,0.574562,,0.00117422,14.8564
0.00117985,0.567757,,0.00117985,14.8581
0.00119,0.55582,,0.00119,14.861
0.00119113,0.555886,,0.00119113,14.861
0.00119338,0.555524,,0.00119338,14.8611
0.00119788,0.554802,,0.00119788,14.8613
0.00120689,0.55336,,0.00120689,14.8617
0.00121,0.552868,,0.00121,14.8618
0.0012118,0.555663,,0.0012118,14.8611
0.0012154,0.561323,,0.0012154,14.8597
0.00122261,0.572904,,0.00122261,14.8568
0.00123,0.585461,,0.00123,14.8536
0.00123144,0.58561,,0.00123144,14.8536
0.00123432,0.585355,,0.00123432,14.8537
0.00124009,0.584845,,0.00124009,14.8538
0.00125,0.583972,,0.00125,14.854
0.00125115,0.585945,,0.00125115,14.8535
0.00125346,0.589922,,0.00125346,14.8525
0.00125807,0.597999,,0.00125807,14.8505
0.00126729,0.614657,,0.00126729,14.8463
0.00127,0.620263,,0.00127,14.8449
0.00127184,0.61622,,0.00127184,14.8459
0.00127553,0.608173,,0.00127553,14.848
0.00128291,0.592547,,0.00128291,14.8519
0.00129,0.578592,,0.00129,14.8554
0.00129148,0.601192,,0.00129148,14.8497
0.00129443,0.6513,,0.00129443,14.8372
0.00130033,0.781588,,0.00130033,14.8046
0.00131,1.16255,,0.00131,14.7094
0.00131118,1.20693,,0.00131118,14.6983
0.00131354,1.3067,,0.00131354,14.6733
0.00131826,1.56551,,0.00131826,14.6086
0.00132771,2.59246,,0.00132771,14.3519
0.00133,3.08307,,0.00133,14.2292
0.00133189,2.57849,,0.00133189,14.3554
0.00133567,1.94263,,0.00133567,14.5143
0.00134322,1.30098,,0.00134322,14.6748
0.00135,1.00363,,0.00135,14.7491
0.00135151,0.996646,,0.00135151,14.7508
0.00135453,0.982922,,0.00135453,14.7543
0.00136058,0.956315,,0.00136058,14.7609
0.00137,0.919008,,0.00137,14.7702
0.00137121,0.910738,,0.00137121,14.7723
0.00137363,0.894568,,0.00137363,14.7764
0.00137846,0.86455,,0.00137846,14.7839
0.00138813,0.809714,,0.00138813,14.7976
0.0014,0.751252,,0.0014,14.8122
0.00140193,0.749666,,0.00140193,14.8126
0.0014058,0.746511,,0.0014058,14.8134
0.00141354,0.740261,,0.00141354,14.8149
0.00142,0.735171,,0.00142,14.8162
0.00142155,0.735479,,0.00142155,14.8161
0.00142464,0.736025,,0.00142464,14.816
0.00143083,0.737119,,0.00143083,14.8157
0.00144,0.738745,,0.00144,14.8153
0.00144124,0.735344,,0.00144124,14.8162
0.00144371,0.728613,,0.00144371,14.8178
0.00144867,0.715426,,0.00144867,14.8211
0.00145857,0.690982,,0.00145857,14.8273
0.00146,0.687539,,0.00146,14.8281
0.00146198,0.684813,,0.00146198,14.8288
0.00146594,0.67938,,0.00146594,14.8302
0.00147386,0.668707,,0.00147386,14.8328
0.00148,0.660832,,0.00148,14.8348
0.00148158,0.65855,,0.00148158,14.8354
0.00148475,0.65384,,0.00148475,14.8365
0.00149109,0.644572,,0.00149109,14.8389
0.0015,0.631995,,0.0015,14.842
0.00150127,0.631613,,0.00150127,14.8421
0.0015038,0.630364,,0.0015038,14.8424
0.00150887,0.627879,,0.00150887,14.843
0.00151394,0.625421,,0.00151394,14.8436
0.00152,0.622506,,0.00152,14.8444
0.00152101,0.623138,,0.00152101,14.8442
0.00152304,0.624378,,0.00152304,14.8439
0.0015271,0.62687,,0.0015271,14.8433
0.00153521,0.631898,,0.00153521,14.842
0.00154,0.634948,,0.00154,14.8413
0.00154162,0.636019,,0.00154162,14.841
0.00154487,0.638139,,0.00154487,14.8405
0.00155136,0.642413,,0.00155136,14.8394
0.00156,0.648198,,0.00156,14.838
0.0015613,0.644101,,0.0015613,14.839
0.00156389,0.635932,,0.00156389,14.841
0.00156909,0.620057,,0.00156909,14.845
0.00157428,0.605249,,0.00157428,14.8487
0.00158,0.58965,,0.00158,14.8526
0.00158104,0.586878,,0.00158104,14.8533
0.00158312,0.580613,,0.00158312,14.8548
0.00158727,0.568385,,0.00158727,14.8579
0.00159558,0.545996,,0.00159558,14.8635
0.0016,0.53442,,0.0016,14.8664
0.00160166,0.533653,,0.00160166,14.8666
0.00160498,0.531646,,0.00160498,14.8671
0.00161163,0.527666,,0.00161163,14.8681
0.00162,0.52275,,0.00162,14.8693
0.00162133,0.523138,,0.00162133,14.8692
0.00162399,0.523825,,0.00162399,14.869
0.0016293,0.525203,,0.0016293,14.8687
0.00163994,0.527974,,0.00163994,14.868
0.00165,0.530636,,0.00165,14.8673
0.001652,0.530706,,0.001652,14.8673
0.001656,0.530819,,0.001656,14.8673
0.001664,0.531047,,0.001664,14.8672
0.00167,0.531217,,0.00167,14.8672
0.0016716,0.531668,,0.0016716,14.8671
0.0016748,0.532572,,0.0016748,14.8669
0.0016812,0.534387,,0.0016812,14.8664
0.00169,0.536904,,0.00169,14.8658
0.00169128,0.535664,,0.00169128,14.8661
0.00169384,0.533174,,0.00169384,14.8667
0.00169896,0.528248,,0.00169896,14.8679
0.00170408,0.523446,,0.00170408,14.8691
0.00171,0.517986,,0.00171,14.8705
0.00171102,0.518083,,0.00171102,14.8705
0.00171307,0.518163,,0.00171307,14.8705
0.00171717,0.518322,,0.00171717,14.8704
0.00172536,0.518642,,0.00172536,14.8703
0.00173,0.518823,,0.00173,14.8703
0.00173164,0.518839,,0.00173164,14.8703
0.00173492,0.518871,,0.00173492,14.8703
0.00174147,0.518933,,0.00174147,14.8703
0.00175,0.519015,,0.00175,14.8702
0.00175131,0.519408,,0.00175131,14.8701
0.00175393,0.520196,,0.00175393,14.87
0.00175918,0.521776,,0.00175918,14.8696
0.00176442,0.52337,,0.00176442,14.8692
0.00177,0.525076,,0.00177,14.8687
0.00177105,0.523423,,0.00177105,14.8691
0.00177315,0.520129,,0.00177315,14.87
0.00177734,0.513636,,0.00177734,14.8716
0.00178573,0.501011,,0.00178573,14.8747
0.00179,0.495157,,0.00179,14.8762
0.00179168,0.495399,,0.00179168,14.8762
0.00179503,0.495742,,0.00179503,14.8761
0.00180174,0.49643,,0.00180174,14.8759
0.00181,0.497278,,0.00181,14.8757
0.00181134,0.499395,,0.00181134,14.8752
0.00181403,0.503671,,0.00181403,14.8741
0.0018194,0.512388,,0.0018194,14.8719
0.00183,0.530933,,0.00183,14.8673
0.00183107,0.532874,,0.00183107,14.8668
0.00183322,0.536792,,0.00183322,14.8658
0.00183752,0.544758,,0.00183752,14.8638
0.00184611,0.56123,,0.00184611,14.8597
0.00185,0.569612,,0.00185,14.8576
0.00185172,0.571747,,0.00185172,14.8571
0.00185515,0.575815,,0.00185515,14.856
0.00186203,0.584081,,0.00186203,14.854
0.00187,0.594037,,0.00187,14.8515
0.00187137,0.594624,,0.00187137,14.8513
0.00187412,0.59546,,0.00187412,14.8511
0.00187962,0.597137,,0.00187962,14.8507
0.00189062,0.600512,,0.00189062,14.8499
0.0019,0.603441,,0.0019,14.8491
0.001902,0.603781,,0.001902,14.8491
0.001906,0.604434,,0.001906,14.8489
0.001914,0.605743,,0.001914,14.8486
0.00192,0.606731,,0.00192,14.8483
0.0019216,0.605483,,0.0019216,14.8486
0.0019248,0.602995,,0.0019248,14.8493
0.0019312,0.598066,,0.0019312,14.8505
0.00194,0.591425,,0.00194,14.8521
0.00194128,0.593158,,0.00194128,14.8517
0.00194384,0.5965,,0.00194384,14.8509
0.00194896,0.603269,,0.00194896,14.8492
0.00195408,0.610252,,0.00195408,14.8474
0.00196,0.618503,,0.00196,14.8454
0.00196102,0.618011,,0.00196102,14.8455
0.00196307,0.616804,,0.00196307,14.8458
0.00196717,0.614402,,0.00196717,14.8464
0.00197536,0.60964,,0.00197536,14.8476
0.00198,0.607016,,0.00198,14.8482
0.00198164,0.610979,,0.00198164,14.8473
0.00198492,0.619011,,0.00198492,14.8452
0.00199147,0.635557,,0.00199147,14.8411
0.002,0.659427,,0.002,14.8351
0.00200131,0.661724,,0.00200131,14.8346
0.00200393,0.666357,,0.00200393,14.8334
0.00200918,0.675772,,0.00200918,14.8311
0.00201442,0.685557,,0.00201442,14.8286
0.00202,0.696274,,0.00202,14.8259
0.00202105,0.696398,,0.00202105,14.8259
0.00202315,0.696311,,0.00202315,14.8259
0.00202734,0.696136,,0.00202734,14.826
0.00203573,0.695786,,0.00203573,14.8261
0.00204,0.695609,,0.00204,14.8261
