"X--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]","Y--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]",,"X--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]","Y--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]",,"X--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]","Y--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]",,"X--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]","Y--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]",,"X--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]"
4.07e-05,0.751533,,4.07e-05,0.758055,,4.07e-05,0.758126,,4.07e-05,0.75815,,4.07e-05,0.758162
4.15e-05,0.751459,,4.15e-05,0.758048,,4.15e-05,0.758123,,4.15e-05,0.758147,,4.15e-05,0.75816
4.25e-05,0.75138,,4.25e-05,0.75804,,4.25e-05,0.758118,,4.25e-05,0.758145,,4.25e-05,0.758158
4.35e-05,0.751315,,4.35e-05,0.758031,,4.35e-05,0.758114,,4.35e-05,0.758142,,4.35e-05,0.758155
4.45e-05,0.751265,,4.45e-05,0.758022,,4.45e-05,0.758109,,4.45e-05,0.758139,,4.45e-05,0.758153
4.5e-05,0.751245,,4.5e-05,0.758018,,4.5e-05,0.758107,,4.5e-05,0.758137,,4.5e-05,0.758152
4.51e-05,0.751241,,4.51e-05,0.758017,,4.51e-05,0.758107,,4.51e-05,0.758137,,4.51e-05,0.758152
4.53e-05,0.751235,,4.53e-05,0.758015,,4.53e-05,0.758106,,4.53e-05,0.758136,,4.53e-05,0.758151
4.57e-05,0.751223,,4.57e-05,0.758011,,4.57e-05,0.758104,,4.57e-05,0.758135,,4.57e-05,0.75815
4.65e-05,0.751207,,4.65e-05,0.758004,,4.65e-05,0.7581,,4.65e-05,0.758132,,4.65e-05,0.758149
4.75e-05,0.751198,,4.75e-05,0.757995,,4.75e-05,0.758095,,4.75e-05,0.758129,,4.75e-05,0.758146
4.85e-05,0.751204,,4.85e-05,0.757986,,4.85e-05,0.758091,,4.85e-05,0.758126,,4.85e-05,0.758144
4.95e-05,0.751222,,4.95e-05,0.757976,,4.95e-05,0.758086,,4.95e-05,0.758123,,4.95e-05,0.758141
5e-05,0.751236,,5e-05,0.757971,,5e-05,0.758083,,5e-05,0.758121,,5e-05,0.75814
5.01e-05,0.75124,,5.01e-05,0.75797,,5.01e-05,0.758083,,5.01e-05,0.758121,,5.01e-05,0.75814
5.03e-05,0.751247,,5.03e-05,0.757968,,5.03e-05,0.758082,,5.03e-05,0.75812,,5.03e-05,0.758139
5.07e-05,0.751262,,5.07e-05,0.757965,,5.07e-05,0.75808,,5.07e-05,0.758119,,5.07e-05,0.758138
5.15e-05,0.751299,,5.15e-05,0.757957,,5.15e-05,0.758076,,5.15e-05,0.758116,,5.15e-05,0.758137
5.25e-05,0.751357,,5.25e-05,0.757947,,5.25e-05,0.758071,,5.25e-05,0.758113,,5.25e-05,0.758134
5.35e-05,0.751427,,5.35e-05,0.757937,,5.35e-05,0.758066,,5.35e-05,0.75811,,5.35e-05,0.758132
5.45e-05,0.751509,,5.45e-05,0.757928,,5.45e-05,0.758061,,5.45e-05,0.758106,,5.45e-05,0.758129
5.5e-05,0.751555,,5.5e-05,0.757923,,5.5e-05,0.758059,,5.5e-05,0.758105,,5.5e-05,0.758128
5.51e-05,0.751565,,5.51e-05,0.757922,,5.51e-05,0.758058,,5.51e-05,0.758104,,5.51e-05,0.758128
5.53e-05,0.751584,,5.53e-05,0.75792,,5.53e-05,0.758057,,5.53e-05,0.758104,,5.53e-05,0.758127
5.57e-05,0.751625,,5.57e-05,0.757916,,5.57e-05,0.758055,,5.57e-05,0.758102,,5.57e-05,0.758126
5.65e-05,0.751711,,5.65e-05,0.757908,,5.65e-05,0.758051,,5.65e-05,0.7581,,5.65e-05,0.758124
5.75e-05,0.75183,,5.75e-05,0.757899,,5.75e-05,0.758046,,5.75e-05,0.758096,,5.75e-05,0.758122
5.85e-05,0.75196,,5.85e-05,0.757889,,5.85e-05,0.758042,,5.85e-05,0.758093,,5.85e-05,0.758119
5.95e-05,0.752102,,5.95e-05,0.757879,,5.95e-05,0.758037,,5.95e-05,0.75809,,5.95e-05,0.758117
6e-05,0.752177,,6e-05,0.757874,,6e-05,0.758034,,6e-05,0.758088,,6e-05,0.758115
6.01e-05,0.752192,,6.01e-05,0.757873,,6.01e-05,0.758034,,6.01e-05,0.758088,,6.01e-05,0.758115
6.03e-05,0.752223,,6.03e-05,0.757871,,6.03e-05,0.758033,,6.03e-05,0.758087,,6.03e-05,0.758115
6.07e-05,0.752287,,6.07e-05,0.757868,,6.07e-05,0.758031,,6.07e-05,0.758086,,6.07e-05,0.758114
6.15e-05,0.75242,,6.15e-05,0.75786,,6.15e-05,0.758027,,6.15e-05,0.758083,,6.15e-05,0.758112
6.25e-05,0.752597,,6.25e-05,0.757851,,6.25e-05,0.758022,,6.25e-05,0.75808,,6.25e-05,0.758109
6.35e-05,0.752786,,6.35e-05,0.757841,,6.35e-05,0.758017,,6.35e-05,0.758077,,6.35e-05,0.758107
6.45e-05,0.752986,,6.45e-05,0.757832,,6.45e-05,0.758012,,6.45e-05,0.758074,,6.45e-05,0.758104
6.5e-05,0.75309,,6.5e-05,0.757827,,6.5e-05,0.75801,,6.5e-05,0.758072,,6.5e-05,0.758103
6.51e-05,0.753111,,6.51e-05,0.757826,,6.51e-05,0.75801,,6.51e-05,0.758072,,6.51e-05,0.758103
6.53e-05,0.753154,,6.53e-05,0.757825,,6.53e-05,0.758009,,6.53e-05,0.758071,,6.53e-05,0.758102
6.57e-05,0.753241,,6.57e-05,0.757821,,6.57e-05,0.758007,,6.57e-05,0.75807,,6.57e-05,0.758102
6.65e-05,0.75342,,6.65e-05,0.757814,,6.65e-05,0.758003,,6.65e-05,0.758067,,6.65e-05,0.7581
6.75e-05,0.753653,,6.75e-05,0.757805,,6.75e-05,0.757999,,6.75e-05,0.758064,,6.75e-05,0.758097
6.85e-05,0.753898,,6.85e-05,0.757796,,6.85e-05,0.757994,,6.85e-05,0.758061,,6.85e-05,0.758095
6.95e-05,0.754153,,6.95e-05,0.757788,,6.95e-05,0.75799,,6.95e-05,0.758058,,6.95e-05,0.758093
7e-05,0.754284,,7e-05,0.757784,,7e-05,0.757988,,7e-05,0.758057,,7e-05,0.758092
7.01e-05,0.754311,,7.01e-05,0.757783,,7.01e-05,0.757987,,7.01e-05,0.758057,,7.01e-05,0.758092
7.03e-05,0.754364,,7.03e-05,0.757781,,7.03e-05,0.757986,,7.03e-05,0.758056,,7.03e-05,0.758091
7.07e-05,0.754473,,7.07e-05,0.757778,,7.07e-05,0.757985,,7.07e-05,0.758055,,7.07e-05,0.75809
7.15e-05,0.754694,,7.15e-05,0.757772,,7.15e-05,0.757981,,7.15e-05,0.758053,,7.15e-05,0.758089
7.25e-05,0.75498,,7.25e-05,0.757764,,7.25e-05,0.757977,,7.25e-05,0.75805,,7.25e-05,0.758087
7.35e-05,0.755277,,7.35e-05,0.757756,,7.35e-05,0.757973,,7.35e-05,0.758047,,7.35e-05,0.758085
7.45e-05,0.755583,,7.45e-05,0.757749,,7.45e-05,0.75797,,7.45e-05,0.758045,,7.45e-05,0.758083
7.5e-05,0.75574,,7.5e-05,0.757745,,7.5e-05,0.757968,,7.5e-05,0.758043,,7.5e-05,0.758082
7.51e-05,0.755771,,7.51e-05,0.757745,,7.51e-05,0.757967,,7.51e-05,0.758043,,7.51e-05,0.758081
7.53e-05,0.755835,,7.53e-05,0.757743,,7.53e-05,0.757967,,7.53e-05,0.758043,,7.53e-05,0.758081
7.57e-05,0.755963,,7.57e-05,0.75774,,7.57e-05,0.757965,,7.57e-05,0.758042,,7.57e-05,0.75808
7.65e-05,0.756225,,7.65e-05,0.757735,,7.65e-05,0.757962,,7.65e-05,0.75804,,7.65e-05,0.758079
7.75e-05,0.75656,,7.75e-05,0.757728,,7.75e-05,0.757959,,7.75e-05,0.758037,,7.75e-05,0.758077
7.85e-05,0.756905,,7.85e-05,0.757722,,7.85e-05,0.757956,,7.85e-05,0.758035,,7.85e-05,0.758075
7.95e-05,0.757259,,7.95e-05,0.757716,,7.95e-05,0.757953,,7.95e-05,0.758033,,7.95e-05,0.758074
8e-05,0.757439,,8e-05,0.757714,,8e-05,0.757951,,8e-05,0.758032,,8e-05,0.758073
8.01e-05,0.757475,,8.01e-05,0.757713,,8.01e-05,0.757951,,8.01e-05,0.758032,,8.01e-05,0.758073
8.03e-05,0.757548,,8.03e-05,0.757712,,8.03e-05,0.75795,,8.03e-05,0.758032,,8.03e-05,0.758073
8.07e-05,0.757693,,8.07e-05,0.75771,,8.07e-05,0.757949,,8.07e-05,0.758031,,8.07e-05,0.758072
8.15e-05,0.757983,,8.15e-05,0.757706,,8.15e-05,0.757947,,8.15e-05,0.758029,,8.15e-05,0.758071
