"X--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]","Y--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]",,"X--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]","Y--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]",,"X--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]","Y--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]",,"X--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]","Y--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]",,"X--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]"
0.0006548,0.910133,,0.0006548,0.904561,,0.0006548,0.906359,,0.0006548,0.906448,,0.0006548,0.906373
0.0006612,0.915541,,0.0006612,0.90694,,0.0006612,0.907362,,0.0006612,0.907125,,0.0006612,0.907032
0.00067,0.923086,,0.00067,0.911582,,0.00067,0.909836,,0.00067,0.908867,,0.00067,0.908721
0.00067128,0.924716,,0.00067128,0.912408,,0.00067128,0.910319,,0.00067128,0.909214,,0.00067128,0.909058
0.00067384,0.927866,,0.00067384,0.914156,,0.00067384,0.911357,,0.00067384,0.909962,,0.00067384,0.909783
0.00067896,0.934213,,0.00067896,0.918155,,0.00067896,0.913835,,0.00067896,0.911768,,0.00067896,0.911535
0.00068408,0.94068,,0.00068408,0.922724,,0.00068408,0.916807,,0.00068408,0.913969,,0.00068408,0.913671
0.00069,0.948254,,0.00069,0.928571,,0.00069,0.920794,,0.00069,0.916972,,0.00069,0.916588
0.000691024,0.946433,,0.000691024,0.929482,,0.000691024,0.921465,,0.000691024,0.917491,,0.000691024,0.917092
0.000693072,0.942685,,0.000693072,0.93102,,0.000693072,0.922673,,0.000693072,0.918443,,0.000693072,0.918021
0.000697168,0.935256,,0.000697168,0.932563,,0.000697168,0.924336,,0.000697168,0.919863,,0.000697168,0.919414
0.00070536,0.920661,,0.00070536,0.930934,,0.00070536,0.925039,,0.00070536,0.920946,,0.00070536,0.920514
0.00071,0.912842,,0.00071,0.927855,,0.00071,0.924088,,0.00071,0.920618,,0.00071,0.920232
0.000711638,0.908293,,0.000711638,0.926307,,0.000711638,0.923437,,0.000711638,0.920275,,0.000711638,0.919912
0.000714915,0.899174,,0.000714915,0.922733,,0.000714915,0.921813,,0.000714915,0.919354,,0.000714915,0.919046
0.000721469,0.881346,,0.000721469,0.913207,,0.000721469,0.916818,,0.000721469,0.9162,,0.000721469,0.916044
0.00073,0.859277,,0.00073,0.897522,,0.00073,0.90746,,0.00073,0.909831,,0.00073,0.909933
0.000731311,0.861995,,0.000731311,0.895237,,0.000731311,0.905949,,0.000731311,0.908759,,0.000731311,0.908901
0.000733932,0.866368,,0.000733932,0.891242,,0.000733932,0.903174,,0.000733932,0.906762,,0.000733932,0.906976
0.000739175,0.87521,,0.000739175,0.886297,,0.000739175,0.899007,,0.000739175,0.903609,,0.000739175,0.903926
0.000744418,0.884303,,0.000744418,0.884716,,0.000744418,0.89653,,0.000744418,0.901518,,0.000744418,0.901889
0.00075,0.894182,,0.00075,0.885872,,0.00075,0.895536,,0.00075,0.900376,,0.00075,0.900757
0.000751049,0.896941,,0.000751049,0.886449,,0.000751049,0.895574,,0.000751049,0.900314,,0.000751049,0.900691
0.000753146,0.902277,,0.000753146,0.887821,,0.000753146,0.89579,,0.000753146,0.900289,,0.000753146,0.900653
0.00075734,0.913093,,0.00075734,0.891759,,0.00075734,0.89703,,0.00075734,0.900812,,0.00075734,0.901132
0.000765729,0.935315,,0.000765729,0.903464,,0.000765729,0.902418,,0.000765729,0.904009,,0.000765729,0.904167
0.00077,0.947673,,0.00077,0.911129,,0.00077,0.906565,,0.00077,0.906709,,0.00077,0.906752
0.000771678,0.943791,,0.000771678,0.913772,,0.000771678,0.908134,,0.000771678,0.907766,,0.000771678,0.907767
0.000775033,0.935794,,0.000775033,0.917983,,0.000775033,0.910804,,0.000775033,0.909593,,0.000775033,0.909522
0.000781744,0.920105,,0.000781744,0.920967,,0.000781744,0.913578,,0.000781744,0.911628,,0.000781744,0.911488
0.00079,0.90162,,0.00079,0.917369,,0.00079,0.913047,,0.00079,0.911524,,0.00079,0.911406
0.000791342,0.900548,,0.000791342,0.916262,,0.000791342,0.912622,,0.000791342,0.911273,,0.000791342,0.911167
0.000794027,0.897674,,0.000794027,0.914006,,0.000794027,0.911703,,0.000794027,0.910715,,0.000794027,0.910636
0.000799395,0.891968,,0.000799395,0.90927,,0.000799395,0.909482,,0.000799395,0.90929,,0.000799395,0.909272
0.00081,0.880859,,0.00081,0.899322,,0.00081,0.903849,,0.00081,0.905408,,0.00081,0.905535
0.000811074,0.883206,,0.000811074,0.898463,,0.000811074,0.903284,,0.000811074,0.904999,,0.000811074,0.90514
0.000813221,0.887655,,0.000813221,0.897073,,0.000813221,0.902306,,0.000813221,0.904277,,0.000813221,0.904442
0.000817516,0.896653,,0.000817516,0.896077,,0.000817516,0.901223,,0.000817516,0.9034,,0.000817516,0.903587
