"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000453223,0.577355,,0.000453223,0.639519,,0.000453223,0.607498,,0.000453223,0.581507,,0.000453223,0.564455,,0.000453223,0.552743
0.00046,0.57147,,0.00046,0.639566,,0.00046,0.609846,,0.00046,0.583914,,0.00046,0.566636,,0.00046,0.554686
0.000461511,0.570339,,0.000461511,0.63951,,0.000461511,0.610339,,0.000461511,0.584434,,0.000461511,0.567112,,0.000461511,0.555113
0.000464533,0.568281,,0.000464533,0.639357,,0.000464533,0.611306,,0.000464533,0.585464,,0.000464533,0.568058,,0.000464533,0.555961
0.000470578,0.564849,,0.000470578,0.6388,,0.000470578,0.61312,,0.000470578,0.587459,,0.000470578,0.569909,,0.000470578,0.55763
0.00048,0.560035,,0.00048,0.637261,,0.00048,0.615617,,0.00048,0.590384,,0.00048,0.572677,,0.00048,0.560149
0.000481209,0.55981,,0.000481209,0.636998,,0.000481209,0.615904,,0.000481209,0.590742,,0.000481209,0.57302,,0.000481209,0.560464
0.000483627,0.559914,,0.000483627,0.636448,,0.000483627,0.616466,,0.000483627,0.591449,,0.000483627,0.573704,,0.000483627,0.561092
0.000488462,0.56214,,0.000488462,0.635205,,0.000488462,0.617517,,0.000488462,0.592824,,0.000488462,0.575047,,0.000488462,0.562334
0.000498134,0.569026,,0.000498134,0.632219,,0.000498134,0.619344,,0.000498134,0.59543,,0.000498134,0.577649,,0.000498134,0.564764
0.0005,0.570492,,0.0005,0.631572,,0.0005,0.619656,,0.0005,0.595911,,0.0005,0.578138,,0.0005,0.565226
0.000501934,0.5729,,0.000501934,0.630874,,0.000501934,0.619964,,0.000501934,0.596402,,0.000501934,0.578642,,0.000501934,0.565703
0.000505803,0.5789,,0.000505803,0.629449,,0.000505803,0.620559,,0.000505803,0.597375,,0.000505803,0.579647,,0.000505803,0.566656
0.00051354,0.594671,,0.00051354,0.626482,,0.00051354,0.621662,,0.00051354,0.599288,,0.00051354,0.581648,,0.00051354,0.568569
0.00052,0.609569,,0.00052,0.623969,,0.00052,0.622527,,0.00052,0.600871,,0.00052,0.583329,,0.00052,0.570188
0.000521547,0.612301,,0.000521547,0.623374,,0.000521547,0.62273,,0.000521547,0.601251,,0.000521547,0.583734,,0.000521547,0.570579
0.000524642,0.616141,,0.000524642,0.622188,,0.000524642,0.623131,,0.000524642,0.602008,,0.000524642,0.584544,,0.000524642,0.571363
0.000530832,0.618246,,0.000530832,0.619855,,0.000530832,0.623908,,0.000530832,0.603512,,0.000530832,0.586164,,0.000530832,0.572935
0.00054,0.617315,,0.00054,0.6165,,0.00054,0.624993,,0.00054,0.605709,,0.00054,0.588555,,0.00054,0.575267
0.000541238,0.616731,,0.000541238,0.616057,,0.000541238,0.625132,,0.000541238,0.606002,,0.000541238,0.588876,,0.000541238,0.575581
0.000543714,0.614988,,0.000543714,0.615174,,0.000543714,0.625404,,0.000543714,0.606583,,0.000543714,0.589516,,0.000543714,0.576208
0.000548666,0.609372,,0.000548666,0.613417,,0.000548666,0.625915,,0.000548666,0.607724,,0.000548666,0.590781,,0.000548666,0.577453
0.000558569,0.595672,,0.000558569,0.609882,,0.000558569,0.626763,,0.000558569,0.609887,,0.000558569,0.593232,,0.000558569,0.579883
0.00056,0.593682,,0.00056,0.609366,,0.00056,0.626864,,0.00056,0.610186,,0.00056,0.593576,,0.00056,0.580227
0.000561981,0.592306,,0.000561981,0.608646,,0.000561981,0.62699,,0.000561981,0.610589,,0.000561981,0.594046,,0.000561981,0.580699
0.000565942,0.591263,,0.000565942,0.607205,,0.000565942,0.627223,,0.000565942,0.611384,,0.000565942,0.59498,,0.000565942,0.581639
0.000573865,0.594288,,0.000573865,0.604325,,0.000573865,0.627585,,0.000573865,0.612907,,0.000573865,0.596807,,0.000573865,0.583494
0.00058,0.597971,,0.00058,0.602124,,0.00058,0.627779,,0.00058,0.614028,,0.00058,0.598187,,0.00058,0.584911
0.000581585,0.598871,,0.000581585,0.601565,,0.000581585,0.627816,,0.000581585,0.614309,,0.000581585,0.598538,,0.000581585,0.585274
0.000584754,0.600576,,0.000584754,0.600457,,0.000584754,0.627881,,0.000584754,0.614865,,0.000584754,0.599237,,0.000584754,0.585997
0.000591092,0.603672,,0.000591092,0.598303,,0.000591092,0.627968,,0.000591092,0.615944,,0.000591092,0.600616,,0.000591092,0.587434
0.0006,0.607855,,0.0006,0.595455,,0.0006,0.628001,,0.0006,0.617394,,0.0006,0.602513,,0.0006,0.58943
0.000601268,0.608078,,0.000601268,0.59507,,0.000601268,0.627997,,0.000601268,0.617593,,0.000601268,0.602778,,0.000601268,0.589711
0.000603803,0.607946,,0.000603803,0.594311,,0.000603803,0.627984,,0.000603803,0.617987,,0.000603803,0.603306,,0.000603803,0.590272
0.000608874,0.605539,,0.000608874,0.592842,,0.000608874,0.627928,,0.000608874,0.618749,,0.000608874,0.604343,,0.000608874,0.59138
0.000619015,0.59817,,0.000619015,0.590071,,0.000619015,0.627675,,0.000619015,0.620154,,0.000619015,0.606331,,0.000619015,0.593531
0.00063,0.589786,,0.00063,0.587254,,0.00063,0.627156,,0.00063,0.621468,,0.00063,0.60833,,0.00063,0.595746
0.000632,0.589137,,0.000632,0.586761,,0.000632,0.627028,,0.000632,0.621679,,0.000632,0.608673,,0.000632,0.596134
0.000636,0.588861,,0.000636,0.585785,,0.000636,0.626755,,0.000636,0.622087,,0.000636,0.609349,,0.000636,0.596902
0.000644,0.591349,,0.000644,0.583921,,0.000644,0.626121,,0.000644,0.622825,,0.000644,0.610646,,0.000644,0.598399
0.00065,0.593973,,0.00065,0.582615,,0.00065,0.625575,,0.00065,0.623315,,0.00065,0.611572,,0.00065,0.599489
0.0006516,0.59476,,0.0006516,0.582287,,0.0006516,0.625419,,0.0006516,0.623436,,0.0006516,0.611812,,0.0006516,0.599775
0.0006548,0.596449,,0.0006548,0.581645,,0.0006548,0.625101,,0.0006548,0.62367,,0.0006548,0.612286,,0.0006548,0.600343
0.0006612,0.60022,,0.0006612,0.580463,,0.0006612,0.624435,,0.0006612,0.624104,,0.0006612,0.61321,,0.0006612,0.601461
0.00067,0.605706,,0.00067,0.579095,,0.00067,0.623471,,0.00067,0.624635,,0.00067,0.61443,,0.00067,0.602965
0.00067128,0.606611,,0.00067128,0.578927,,0.00067128,0.623327,,0.00067128,0.624706,,0.00067128,0.614603,,0.00067128,0.603181
0.00067384,0.608543,,0.00067384,0.578606,,0.00067384,0.62304,,0.00067384,0.624847,,0.00067384,0.614948,,0.00067384,0.603611
0.00067896,0.612872,,0.00067896,0.578066,,0.00067896,0.622467,,0.00067896,0.625118,,0.00067896,0.615629,,0.00067896,0.604469
0.00068408,0.617509,,0.00068408,0.57767,,0.00068408,0.621902,,0.00068408,0.625381,,0.00068408,0.616304,,0.00068408,0.605322
0.00069,0.623031,,0.00069,0.577411,,0.00069,0.621271,,0.00069,0.62568,,0.00069,0.617079,,0.00069,0.606308
0.000691024,0.623541,,0.000691024,0.577392,,0.000691024,0.621165,,0.000691024,0.625731,,0.000691024,0.617213,,0.000691024,0.606479
0.000693072,0.623812,,0.000693072,0.577365,,0.000693072,0.620954,,0.000693072,0.625832,,0.000693072,0.617478,,0.000693072,0.606818
0.000697168,0.621336,,0.000697168,0.577378,,0.000697168,0.620532,,0.000697168,0.626025,,0.000697168,0.618,,0.000697168,0.607488
0.00070536,0.611878,,0.00070536,0.577618,,0.00070536,0.619676,,0.00070536,0.62636,,0.00070536,0.618994,,0.00070536,0.608787
0.00071,0.605814,,0.00071,0.577858,,0.00071,0.619174,,0.00071,0.626514,,0.00071,0.619524,,0.00071,0.609495
0.000711638,0.603345,,0.000711638,0.577957,,0.000711638,0.618989,,0.000711638,0.626558,,0.000711638,0.619702,,0.000711638,0.609737
0.000714915,0.597865,,0.000714915,0.578163,,0.000714915,0.618612,,0.000714915,0.626634,,0.000714915,0.620048,,0.000714915,0.610212
0.000721469,0.585257,,0.000721469,0.578585,,0.000721469,0.617793,,0.000721469,0.626716,,0.000721469,0.620677,,0.000721469,0.61111
0.00073,0.568523,,0.00073,0.579063,,0.00073,0.616563,,0.00073,0.626653,,0.00073,0.62135,,0.00073,0.612156
0.000731311,0.5672,,0.000731311,0.579123,,0.000731311,0.616353,,0.000731311,0.626623,,0.000731311,0.621437,,0.000731311,0.612303
0.000733932,0.566064,,0.000733932,0.579236,,0.000733932,0.615927,,0.000733932,0.626557,,0.000733932,0.621604,,0.000733932,0.612593
0.000739175,0.56914,,0.000739175,0.579437,,0.000739175,0.615034,,0.000739175,0.626382,,0.000739175,0.621906,,0.000739175,0.613146
0.000744418,0.575018,,0.000744418,0.57962,,0.000744418,0.614096,,0.000744418,0.626158,,0.000744418,0.622168,,0.000744418,0.613668
0.00075,0.581958,,0.00075,0.579821,,0.00075,0.613065,,0.00075,0.625876,,0.00075,0.622411,,0.00075,0.614197
0.000751049,0.583438,,0.000751049,0.579862,,0.000751049,0.612869,,0.000751049,0.625819,,0.000751049,0.622453,,0.000751049,0.614293
0.000753146,0.586594,,0.000753146,0.579949,,0.000753146,0.612476,,0.000753146,0.625702,,0.000753146,0.622535,,0.000753146,0.614485
0.00075734,0.593703,,0.00075734,0.58015,,0.00075734,0.611693,,0.00075734,0.625461,,0.00075734,0.622691,,0.00075734,0.614863
0.000765729,0.609343,,0.000765729,0.580728,,0.000765729,0.610172,,0.000765729,0.624971,,0.000765729,0.622992,,0.000765729,0.615612
0.00077,0.617896,,0.00077,0.581139,,0.00077,0.609436,,0.00077,0.624729,,0.00077,0.623147,,0.00077,0.615996
0.000771678,0.619554,,0.000771678,0.581333,,0.000771678,0.609158,,0.000771678,0.624636,,0.000771678,0.623207,,0.000771678,0.616146
0.000775033,0.62021,,0.000775033,0.581741,,0.000775033,0.608607,,0.000775033,0.624447,,0.000775033,0.623324,,0.000775033,0.616443
0.000781744,0.612787,,0.000781744,0.582664,,0.000781744,0.607527,,0.000781744,0.624048,,0.000781744,0.623531,,0.000781744,0.617008
0.00079,0.599104,,0.00079,0.583905,,0.00079,0.606204,,0.00079,0.623498,,0.00079,0.623715,,0.00079,0.617638
0.000791342,0.597207,,0.000791342,0.584113,,0.000791342,0.605987,,0.000791342,0.6234,,0.000791342,0.623735,,0.000791342,0.617732
0.000794027,0.593834,,0.000794027,0.584527,,0.000794027,0.605551,,0.000794027,0.623199,,0.000794027,0.623772,,0.000794027,0.617916
0.000799395,0.588614,,0.000799395,0.585346,,0.000799395,0.604667,,0.000799395,0.622768,,0.000799395,0.623815,,0.000799395,0.618257
0.00081,0.580093,,0.00081,0.586868,,0.00081,0.602851,,0.00081,0.621791,,0.00081,0.623776,,0.00081,0.618819
0.000811074,0.579834,,0.000811074,0.587012,,0.000811074,0.602662,,0.000811074,0.621682,,0.000811074,0.623763,,0.000811074,0.618867
0.000813221,0.580138,,0.000813221,0.587298,,0.000813221,0.602283,,0.000813221,0.621462,,0.000813221,0.623733,,0.000813221,0.618962
0.000817516,0.583926,,0.000817516,0.587862,,0.000817516,0.601524,,0.000817516,0.621012,,0.000817516,0.623662,,0.000817516,0.619142
0.000826106,0.596014,,0.000826106,0.589007,,0.000826106,0.600036,,0.000826106,0.62009,,0.000826106,0.623492,,0.000826106,0.619478
0.00083,0.602302,,0.00083,0.589552,,0.00083,0.599387,,0.00083,0.619671,,0.00083,0.623408,,0.00083,0.619624
